price_level,level_type,timeframe,created_at,source,anchor_time,completion_time,direction,period,support_touches,resistance_touches
92810.64,Fractal_High,daily,2025-03-06,fractal,,,,,0,1
92872.0,VP_vah,daily,,volume_profile,,,,2025-04-23,0,1
92882.0,VP_poc,daily,,volume_profile,,,,2025-03-03,0,1
93097.0,Fib_0.50_daily,daily,2025-03-11,fibonacci,2025-01-20,2025-03-11,high_to_low,,0,1
93224.0,VP_poc,daily,,volume_profile,,,,2025-01-09,0,1
93233.25,Fib_0.75_daily,daily,2025-04-07,fibonacci,2025-02-21,2025-04-07,high_to_low,,0,1
93244.0,Fib_0.50_daily,daily,2025-05-22,fibonacci,2025-04-07,2025-05-22,low_to_high,,0,1
93284.0,VP_vah,daily,,volume_profile,,,,2025-01-01,0,1
93358.0,VP_val,daily,,volume_profile,,,,2025-03-02,0,1
93373.0,VP_poc,daily,,volume_profile,,,,2025-04-24,0,1
93377.0,Fractal_Low,daily,2025-05-06,fractal,,,,,0,1
93388.09,Fractal_Low,daily,2025-02-18,fractal,,,,,1,1
93435.0,VP_val,daily,,volume_profile,,,,2025-01-13,1,1
93448.0,VP_vah,daily,,volume_profile,,,,2025-01-10,1,1
93457.7475,Fib_0.75_daily,daily,2025-02-07,fibonacci,2025-02-03,2025-02-07,low_to_high,,1,1
93533.11796,Fib_0.639_daily,daily,2025-05-22,fibonacci,2025-04-16,2025-05-22,low_to_high,,1,1
93539.5175,Fib_0.25_daily,daily,2025-04-28,fibonacci,2025-04-25,2025-04-28,high_to_low,,1,1
93618.0,VP_vah,daily,,volume_profile,,,,2025-02-24,1,1
93621.0,VP_poc,daily,,volume_profile,,,,2025-04-23,1,1
93621.0,VP_vah,daily,,volume_profile,,,,2025-05-06,1,1
93659.0,VP_vah,daily,,volume_profile,,,,2025-04-30,1,1
93671.0,VP_poc,daily,,volume_profile,,,,2025-01-01,1,1
93698.0,VP_vah,daily,,volume_profile,,,,2025-04-27,1,1
93721.0,VP_val,daily,,volume_profile,,,,2025-03-03,1,1
93730.4925,Fib_0.75_daily,daily,2025-04-07,fibonacci,2025-02-07,2025-04-07,high_to_low,,1,1
93749.29,HTF_Level_daily,daily,2025-04-28,htf,,,,,1,1
93757.75,Fib_0.75_daily,daily,2025-03-11,fibonacci,2025-02-21,2025-03-11,high_to_low,,1,1
93850.0,VP_vah,daily,,volume_profile,,,,2025-04-28,1,1
93852.0,VP_vah,daily,,volume_profile,,,,2025-04-25,1,1
93885.0,VP_val,daily,,volume_profile,,,,2025-04-23,1,1
93888.0,VP_vah,daily,,volume_profile,,,,2025-05-05,1,1
93907.0,VP_vah,daily,,volume_profile,,,,2025-01-08,1,1
93923.26,Fib_0.50_daily,daily,2025-02-28,fibonacci,2025-01-20,2025-02-28,high_to_low,,1,1
93935.0,VP_val,daily,,volume_profile,,,,2025-01-09,1,1
93991.0,VP_vah,daily,,volume_profile,,,,2025-04-26,1,1
94005.0,VP_val,daily,,volume_profile,,,,2025-04-24,1,1
94050.0,VP_poc,daily,,volume_profile,,,,2025-04-27,1,1
94068.52328,Fib_0.639_daily,daily,2025-05-22,fibonacci,2025-04-20,2025-05-22,low_to_high,,1,0
94072.0,VP_vah,daily,,volume_profile,,,,2025-01-12,1,0
94073.9275,Fib_0.75_daily,daily,2025-05-02,fibonacci,2025-04-28,2025-05-02,low_to_high,,1,0
94083.8475,Fib_0.25_daily,daily,2025-01-09,fibonacci,2025-01-07,2025-01-09,high_to_low,,2,0
94088.23,Fractal_Low,daily,2025-02-12,fractal,,,,,1,0
94170.88,Fib_0.75_daily,daily,2025-02-28,fibonacci,2025-02-21,2025-02-28,high_to_low,,1,0
94172.0,HTF_Level_daily,daily,2025-05-01,htf,,,,,1,0
94180.0,VP_vah,daily,,volume_profile,,,,2025-01-11,1,0
94199.67,Fib_0.25_daily,daily,2025-05-02,fibonacci,2025-04-16,2025-05-02,low_to_high,,1,0
94222.0,VP_poc,daily,,volume_profile,,,,2025-04-26,1,0
94242.0,VP_poc,daily,,volume_profile,,,,2025-05-05,1,0
94254.9925,Fib_0.75_daily,daily,2025-03-11,fibonacci,2025-02-07,2025-03-11,high_to_low,,1,0
94269.99,HTF_Level_daily,daily,2025-03-03,htf,,,,,1,0
94277.61,HTF_Level_daily,daily,2025-05-05,htf,,,,,1,0
94279.025,Fib_0.50_daily,daily,2025-04-28,fibonacci,2025-04-25,2025-04-28,high_to_low,,1,0
94339.5175,Fib_0.75_daily,daily,2025-01-20,fibonacci,2025-01-13,2025-01-20,low_to_high,,1,0
94351.0,VP_poc,daily,,volume_profile,,,,2025-05-06,1,0
94409.14,Fib_0.25_daily,daily,2025-05-02,fibonacci,2025-04-20,2025-05-02,low_to_high,,2,0
94416.0,VP_val,daily,,volume_profile,,,,2025-04-27,2,0
94446.42339,Fib_0.639_daily,daily,2025-02-07,fibonacci,2025-02-03,2025-02-07,low_to_high,,2,0
