open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,bearish_fractal,bullish_fractal
2024-10-18 13:00:00,67662.0,68196.0,67656.99,68196.0,1233.37326,2024-10-18 13:59:59.999,83791596.08896380,276008,684.44479000,46499963.41071770,0,False,False
2024-10-18 14:00:00,68195.99,68600.0,67936.18,68426.98,4002.87329,2024-10-18 14:59:59.999,273627531.05109380,537124,2383.24761000,162954409.05067120,0,False,False
2024-10-18 15:00:00,68426.99,68870.68,68293.04,68735.35,3171.49022,2024-10-18 15:59:59.999,217716241.33774230,372023,1899.09860000,130362437.87448200,0,False,False
2024-10-18 16:00:00,68735.34,68897.99,68360.0,68787.88,1754.84058,2024-10-18 16:59:59.999,120526090.70009060,303890,878.59938000,60358163.16392690,0,False,False
2024-10-18 17:00:00,68787.87,68908.05,68656.53,68710.14,1032.29321,2024-10-18 17:59:59.999,71035214.09513910,172192,530.38589000,36502573.93053850,0,False,False
2024-10-18 18:00:00,68710.13,69000.0,68560.0,68892.42,1227.26584,2024-10-18 18:59:59.999,84471215.14372850,195423,631.86651000,43499807.77023150,0,True,False
2024-10-18 19:00:00,68892.41,68974.0,68572.72,68608.01,1079.87377,2024-10-18 19:59:59.999,74241491.16943510,142594,421.00249000,28938905.24737530,0,False,False
2024-10-18 20:00:00,68608.01,68690.0,68400.0,68432.0,674.44986,2024-10-18 20:59:59.999,46229732.09725710,105199,272.02190000,18644183.16599460,0,False,False
2024-10-18 21:00:00,68431.99,68495.45,68230.0,68412.0,381.16213,2024-10-18 21:59:59.999,26070150.27934680,51245,151.61082000,10371337.69876930,0,False,False
2024-10-18 22:00:00,68412.0,68420.0,68204.1,68205.6,430.32404,2024-10-18 22:59:59.999,29395088.73595410,85623,194.02086000,13253544.58700770,0,False,True
2024-10-18 23:00:00,68205.59,68470.0,68205.59,68428.0,307.31425,2024-10-18 23:59:59.999,21009698.52265670,51594,168.65353000,11528765.31433390,0,False,False
2024-10-19 00:00:00,68427.99,68480.0,68303.03,68334.2,310.84184,2024-10-19 00:59:59.999,21255321.00543590,53986,134.84825000,9221396.85960860,0,True,False
2024-10-19 01:00:00,68334.21,68454.55,68330.0,68340.02,321.83758,2024-10-19 01:59:59.999,22009631.54483610,58505,169.26705000,11575724.58934560,0,False,False
2024-10-19 02:00:00,68340.02,68469.91,68334.0,68459.59,276.07774,2024-10-19 02:59:59.999,18884498.73024820,41023,146.49768000,10020399.96734450,0,False,False
2024-10-19 03:00:00,68459.58,68693.26,68435.96,68450.01,467.97911,2024-10-19 03:59:59.999,32082709.61655830,73983,258.53162000,17724451.57406790,0,True,False
2024-10-19 04:00:00,68450.0,68560.0,68334.0,68334.01,312.97065,2024-10-19 04:59:59.999,21416398.43544540,49519,111.12962000,7606035.05630570,0,False,False
2024-10-19 05:00:00,68334.0,68432.62,68326.0,68390.01,234.25062,2024-10-19 05:59:59.999,16019978.36842880,50548,103.41127000,7071947.67517500,0,False,False
2024-10-19 06:00:00,68390.01,68439.0,68335.83,68335.83,234.88358,2024-10-19 06:59:59.999,16060979.81138940,40282,91.70217000,6269995.74137370,0,False,False
2024-10-19 07:00:00,68335.84,68405.11,68302.31,68346.54,331.5683,2024-10-19 07:59:59.999,22660258.60536260,41971,159.37284000,10891614.55293490,0,False,True
2024-10-19 08:00:00,68346.54,68475.7,68346.54,68409.99,382.56805,2024-10-19 08:59:59.999,26166029.06667600,39804,231.21765000,15813691.25652330,0,True,False
2024-10-19 09:00:00,68410.0,68436.44,68352.0,68352.0,271.85228,2024-10-19 09:59:59.999,18591734.50685710,25620,114.38994000,7822940.83386020,0,False,False
2024-10-19 10:00:00,68352.0,68380.0,68242.0,68244.0,371.42915,2024-10-19 10:59:59.999,25373445.40970440,42409,167.27301000,11427485.80612360,0,False,False
2024-10-19 11:00:00,68244.01,68297.28,68090.3,68090.3,629.51337,2024-10-19 11:59:59.999,42914354.74519380,72304,199.14024000,13577896.20698930,0,False,False
