price_level,level_type,timeframe,created_at,source,anchor_time,completion_time,direction,period
70022.0,VP_val,daily,,volume_profile,,,,2024-11-05
70191.0,VP_val,daily,,volume_profile,,,,2024-11-01
70227.56,Fib_0.50_daily,daily,2024-11-04,fibonacci,2024-10-29,2024-11-04,high_to_low,
70231.5,Fib_0.75_daily,daily,2024-12-05,fibonacci,2024-10-10,2024-12-05,low_to_high,
70570.0,VP_vah,daily,,volume_profile,,,,2024-10-31
70865.0,VP_vah,daily,,volume_profile,,,,2024-10-29
71161.0,VP_poc,daily,,volume_profile,,,,2024-10-29
71170.69168,Fib_0.639_daily,daily,2024-11-04,fibonacci,2024-10-29,2024-11-04,high_to_low,
71297.75,Fib_0.75_daily,daily,2024-12-17,fibonacci,2024-10-10,2024-12-17,low_to_high,
71335.39004,Fib_0.639_daily,daily,2024-11-13,fibonacci,2024-10-10,2024-11-13,low_to_high,
71530.09,Fib_0.25_daily,daily,2024-10-29,fibonacci,2024-10-23,2024-10-29,low_to_high,
71923.84,Fib_0.75_daily,daily,2024-11-04,fibonacci,2024-10-29,2024-11-04,high_to_low,
71935.0,VP_vah,daily,,volume_profile,,,,2024-10-30
72261.41,Fib_0.75_daily,daily,2024-11-13,fibonacci,2024-10-23,2024-11-13,low_to_high,
72286.0,VP_poc,daily,,volume_profile,,,,2024-10-30
72300.0,VP_poc,daily,,volume_profile,,,,2024-10-31
72550.0,VP_val,daily,,volume_profile,,,,2024-10-30
72646.0,VP_val,daily,,volume_profile,,,,2024-10-29
72700.0,VP_val,daily,,volume_profile,,,,2024-10-31
72736.41,HTF_Level_daily,daily,2024-10-30,htf,,,,
72936.0,VP_vah,daily,,volume_profile,,,,2024-11-06
73442.66,Fib_0.75_daily,daily,2024-11-13,fibonacci,2024-11-04,2024-11-13,low_to_high,
73617.76561,Fib_0.639_daily,daily,2024-11-22,fibonacci,2024-10-10,2024-11-22,low_to_high,
73620.12,Fractal_High,daily,2024-10-29,fractal,,,,
73842.0025,Fib_0.75_daily,daily,2024-11-22,fibonacci,2024-10-23,2024-11-22,low_to_high,
74360.0,VP_poc,daily,,volume_profile,,,,2024-11-06
74602.0,VP_vah,daily,,volume_profile,,,,2024-11-07
74860.0,VP_poc,daily,,volume_profile,,,,2024-11-07
74967.0,Fib_0.75_daily,daily,2024-12-05,fibonacci,2024-10-23,2024-12-05,low_to_high,
75023.0,VP_val,daily,,volume_profile,,,,2024-11-06
75023.2525,Fib_0.75_daily,daily,2024-11-22,fibonacci,2024-11-04,2024-11-22,low_to_high,
75242.262,Fib_0.639_daily,daily,2024-12-05,fibonacci,2024-10-10,2024-12-05,low_to_high,
75370.03604,Fib_0.639_daily,daily,2024-11-13,fibonacci,2024-10-23,2024-11-13,low_to_high,
75770.0,VP_vah,daily,,volume_profile,,,,2024-11-08
76033.25,Fib_0.75_daily,daily,2024-12-17,fibonacci,2024-10-23,2024-12-17,low_to_high,
76088.0,VP_val,daily,,volume_profile,,,,2024-11-07
76105.82,Fib_0.50_daily,daily,2024-11-13,fibonacci,2024-10-10,2024-11-13,low_to_high,
76148.0,VP_poc,daily,,volume_profile,,,,2024-11-08
76148.25,Fib_0.75_daily,daily,2024-12-05,fibonacci,2024-11-04,2024-12-05,low_to_high,
76273.0,VP_vah,daily,,volume_profile,,,,2024-11-09
76300.0,VP_poc,daily,,volume_profile,,,,2024-11-09
76376.46104,Fib_0.639_daily,daily,2024-11-13,fibonacci,2024-11-04,2024-11-13,low_to_high,
76492.0,VP_val,daily,,volume_profile,,,,2024-11-08
76632.0,VP_val,daily,,volume_profile,,,,2024-11-09
76781.927,Fib_0.639_daily,daily,2024-12-17,fibonacci,2024-10-10,2024-12-17,low_to_high,
77214.5,Fib_0.75_daily,daily,2024-12-17,fibonacci,2024-11-04,2024-12-17,low_to_high,
77652.41161,Fib_0.639_daily,daily,2024-11-22,fibonacci,2024-10-23,2024-11-22,low_to_high,
78612.0,VP_vah,daily,,volume_profile,,,,2024-11-10
78658.83661,Fib_0.639_daily,daily,2024-11-22,fibonacci,2024-11-04,2024-11-22,low_to_high,
79262.82,Fib_0.50_daily,daily,2024-11-13,fibonacci,2024-10-23,2024-11-13,low_to_high,
79267.005,Fib_0.50_daily,daily,2024-11-22,fibonacci,2024-10-10,2024-11-22,low_to_high,
79276.908,Fib_0.639_daily,daily,2024-12-05,fibonacci,2024-10-23,2024-12-05,low_to_high,
79606.0,VP_poc,daily,,volume_profile,,,,2024-11-10
80050.32,Fib_0.50_daily,daily,2024-11-13,fibonacci,2024-11-04,2024-11-13,low_to_high,
80283.333,Fib_0.639_daily,daily,2024-12-05,fibonacci,2024-11-04,2024-12-05,low_to_high,
80401.0,VP_val,daily,,volume_profile,,,,2024-11-10
80816.573,Fib_0.639_daily,daily,2024-12-17,fibonacci,2024-10-23,2024-12-17,low_to_high,
81517.0,Fib_0.50_daily,daily,2024-12-05,fibonacci,2024-10-10,2024-12-05,low_to_high,
81822.99799999999,Fib_0.639_daily,daily,2024-12-17,fibonacci,2024-11-04,2024-12-17,low_to_high,
82064.0,VP_vah,daily,,volume_profile,,,,2024-11-11
82424.005,Fib_0.50_daily,daily,2024-11-22,fibonacci,2024-10-23,2024-11-22,low_to_high,
83211.505,Fib_0.50_daily,daily,2024-11-22,fibonacci,2024-11-04,2024-11-22,low_to_high,
83649.5,Fib_0.50_daily,daily,2024-12-17,fibonacci,2024-10-10,2024-12-17,low_to_high,
84674.0,Fib_0.50_daily,daily,2024-12-05,fibonacci,2024-10-23,2024-12-05,low_to_high,
84685.73,Fib_0.25_daily,daily,2024-11-13,fibonacci,2024-10-10,2024-11-13,low_to_high,
85461.5,Fib_0.50_daily,daily,2024-12-05,fibonacci,2024-11-04,2024-12-05,low_to_high,
86264.23,Fib_0.25_daily,daily,2024-11-13,fibonacci,2024-10-23,2024-11-13,low_to_high,
86610.0,VP_vah,daily,,volume_profile,,,,2024-11-12
86657.98,Fib_0.25_daily,daily,2024-11-13,fibonacci,2024-11-04,2024-11-13,low_to_high,
86806.5,Fib_0.50_daily,daily,2024-12-17,fibonacci,2024-10-23,2024-12-17,low_to_high,
86880.0,VP_vah,daily,,volume_profile,,,,2024-11-13
86910.0,VP_poc,daily,,volume_profile,,,,2024-11-11
87325.59,HTF_Level_daily,daily,2024-11-15,htf,,,,
87344.0,VP_poc,daily,,volume_profile,,,,2024-11-13
87397.0,VP_vah,daily,,volume_profile,,,,2024-11-15
87594.0,Fib_0.50_daily,daily,2024-12-17,fibonacci,2024-11-04,2024-12-17,low_to_high,
87650.0,VP_vah,daily,,volume_profile,,,,2024-11-14
87700.0,VP_poc,daily,,volume_profile,,,,2024-11-12
87952.0,HTF_Level_daily,daily,2024-11-13,htf,,,,
88085.0,VP_poc,daily,,volume_profile,,,,2024-11-15
88648.0,HTF_Level_daily,daily,2024-11-12,htf,,,,
89200.0,VP_val,daily,,volume_profile,,,,2024-11-12
89427.50749999999,Fib_0.25_daily,daily,2024-11-22,fibonacci,2024-10-10,2024-11-22,low_to_high,
89531.0,VP_val,daily,,volume_profile,,,,2024-11-11
89685.0,VP_vah,daily,,volume_profile,,,,2024-11-17
89838.0,VP_val,daily,,volume_profile,,,,2024-11-15
89855.98,HTF_Level_daily,daily,2024-11-18,htf,,,,
90000.0,VP_poc,daily,,volume_profile,,,,2024-11-14
90375.21,HTF_Level_daily,daily,2024-11-14,htf,,,,
90487.0,VP_vah,daily,,volume_profile,,,,2024-11-18
90500.0,Fractal_Low,daily,2024-12-05,fractal,,,,
90532.0,VP_poc,daily,,volume_profile,,,,2024-11-17
90660.0,VP_val,daily,,volume_profile,,,,2024-11-14
90744.0,VP_vah,daily,,volume_profile,,,,2024-11-16
90791.1,Fractal_Low,daily,2024-11-26,fractal,,,,
90872.0,VP_poc,daily,,volume_profile,,,,2024-11-16
90916.0,VP_val,daily,,volume_profile,,,,2024-11-17
91006.00749999999,Fib_0.25_daily,daily,2024-11-22,fibonacci,2024-10-23,2024-11-22,low_to_high,
91032.08,HTF_Level_daily,daily,2024-11-16,htf,,,,
91143.0,VP_vah,daily,,volume_profile,,,,2024-11-19
91399.75749999999,Fib_0.25_daily,daily,2024-11-22,fibonacci,2024-11-04,2024-11-22,low_to_high,
91430.0,VP_val,daily,,volume_profile,,,,2024-11-16
91533.0,VP_val,daily,,volume_profile,,,,2024-11-13
91540.0,VP_vah,daily,,volume_profile,,,,2024-11-26
91684.0,VP_poc,daily,,volume_profile,,,,2024-11-19
91833.0,VP_poc,daily,,volume_profile,,,,2024-11-18
91965.16,HTF_Level_daily,daily,2024-11-27,htf,,,,
92138.0,VP_poc,daily,,volume_profile,,,,2024-11-26
92180.0,VP_val,daily,,volume_profile,,,,2024-11-18
92232.54,Fractal_Low,daily,2024-12-20,fractal,,,,
92520.0,Fractal_Low,daily,2024-12-23,fractal,,,,
92715.0,VP_val,daily,,volume_profile,,,,2024-11-19
92748.32250000001,Fib_0.75_daily,daily,2024-11-29,fibonacci,2024-11-26,2024-11-29,low_to_high,
92772.0025,Fib_0.25_daily,daily,2024-12-05,fibonacci,2024-11-22,2024-12-05,high_to_low,
92802.5,Fib_0.25_daily,daily,2024-12-05,fibonacci,2024-10-10,2024-12-05,low_to_high,
92971.0,VP_vah,daily,,volume_profile,,,,2024-12-23
92990.3275,Fib_0.25_daily,daily,2024-11-26,fibonacci,2024-11-22,2024-11-26,high_to_low,
93265.64,Fractal_High,daily,2024-11-13,fractal,,,,
93324.0,VP_vah,daily,,volume_profile,,,,2024-11-20
93384.0,VP_vah,daily,,volume_profile,,,,2024-11-27
93589.0,VP_vah,daily,,volume_profile,,,,2024-12-24
93617.32929000001,Fib_0.639_daily,daily,2024-11-29,fibonacci,2024-11-26,2024-11-29,low_to_high,
93648.0,VP_val,daily,,volume_profile,,,,2024-11-26
93964.0,VP_poc,daily,,volume_profile,,,,2024-12-23
94115.32500000001,Fib_0.75_daily,daily,2024-12-05,fibonacci,2024-11-26,2024-12-05,low_to_high,
94150.05,Fractal_Low,daily,2024-12-09,fractal,,,,
94200.0,VP_poc,daily,,volume_profile,,,,2024-11-20
94316.0,VP_poc,daily,,volume_profile,,,,2024-12-24
94381.0,Fib_0.25_daily,daily,2024-12-05,fibonacci,2024-10-23,2024-12-05,low_to_high,
94588.0,VP_vah,daily,,volume_profile,,,,2024-12-04
94705.54500000001,Fib_0.50_daily,daily,2024-11-29,fibonacci,2024-11-26,2024-11-29,low_to_high,
94747.0,VP_vah,daily,,volume_profile,,,,2024-12-20
94750.0,VP_val,daily,,volume_profile,,,,2024-11-20
94774.75,Fib_0.25_daily,daily,2024-12-05,fibonacci,2024-11-04,2024-12-05,low_to_high,
94881.47,HTF_Level_daily,daily,2024-12-24,htf,,,,
94945.0,VP_vah,daily,,volume_profile,,,,2024-11-28
94963.25,Fib_0.75_daily,daily,2024-12-17,fibonacci,2024-12-05,2024-12-17,low_to_high,
94986.0,VP_vah,daily,,volume_profile,,,,2024-12-03
94997.0,VP_vah,daily,,volume_profile,,,,2024-12-22
95027.0,VP_vah,daily,,volume_profile,,,,2024-11-25
95044.005,Fib_0.50_daily,daily,2024-12-05,fibonacci,2024-11-22,2024-12-05,high_to_low,
95100.0,VP_poc,daily,,volume_profile,,,,2024-11-28
95189.555,Fib_0.50_daily,daily,2024-11-26,fibonacci,2024-11-22,2024-11-26,high_to_low,
95344.0,VP_val,daily,,volume_profile,,,,2024-12-23
95428.0,VP_vah,daily,,volume_profile,,,,2024-12-02
95463.0,VP_poc,daily,,volume_profile,,,,2024-12-22
95591.2809,Fib_0.639_daily,daily,2024-12-05,fibonacci,2024-11-26,2024-12-05,low_to_high,
95643.99,HTF_Level_daily,daily,2024-11-29,htf,,,,
